baseMean,log2FoldChange,lfcSE,pvalue,padj
BACH1,2062.36067894188,2.18765333539203,0.311169050316381,8.35738631207511e-14,4.84367455860964e-13
BAG3,133.453694852605,2.09161063485692,0.191674512247909,4.80538310681001e-29,9.13179828957523e-28
BAMBI,11.041905136674,2.27411146583679,0.447576509960675,1.31989582524536e-08,4.74070057060022e-08
BANP,384.34178205004,2.05126106909467,0.141089408495167,3.5329585819291e-49,2.5053846529168e-47
BATF3,80.0916573775414,2.43813906685366,0.375931442277428,2.43170699421306e-12,1.23676759516172e-11
BBC3,205.221624065591,2.97297720725233,0.323530195991523,6.38818480376695e-22,7.08917836524901e-21
BBOX1,2.91781284401178,3.31020633163439,0.702958236925481,2.13745605782452e-08,7.5086429578632e-08
BCKDK,9.40987277381624,5.24725603508515,1.37665377407455,3.61004670335051e-07,1.11444460697133e-06
BCL3,1610.05653083194,5.35105073141757,0.300752363975545,6.69163653839123e-73,1.94559332353725e-70
BCL6,2178.53518515875,3.8150912132017,0.29768977043227,9.07829433614059e-40,3.4730448397801e-38
BCL6B,1.13907684597205,2.10980605008918,0.66545046900791,7.14211798253007e-05,0.000168438891719937
BEAN1,4.41403218052189,3.40230352464121,0.561586190694667,1.20309178184817e-11,5.74854454514962e-11
BGN,2.09906217422869,2.98198481086339,0.96947763358371,2.32438393241304e-05,5.83185354536826e-05
BHLHE41,254.99348979808,2.82108831205006,0.205173508727307,1.02524242859967e-44,5.64206756054298e-43
BICRA,400.513163088484,2.91178741750606,0.192728140762872,2.67296554768033e-53,2.50698300963889e-51
BMP6,1.78033554864127,2.70926815833683,0.842130946497893,2.15559829966778e-05,5.44045317385771e-05
BMX,52.2312318686258,4.87122217656371,0.551273048543712,4.72732804925241e-21,4.87113040869511e-20
BOC,1.84898448354092,2.08653033590208,0.687265064612968,0.000117193717813003,0.000268722976767592
BRD2,7735.07902253361,2.50179045129053,0.249589659753206,3.15657186733557e-25,4.52105059324048e-24
BRI3,288.482452669924,2.36780409242629,0.230628303182273,3.07656927825003e-26,4.79918703621217e-25
