baseMean,log2FoldChange,lfcSE,pvalue,padj
MSTRG.13878,0.913873734318592,2.20085795882172,0.581545764304352,3.89900951298124e-06,2.05226648449515e-05
MSTRG.1388,197.571371054971,2.38074290553577,0.359311747694855,6.82654988403566e-13,1.36075894355111e-11
MSTRG.13881,1.34986456746092,2.40747524417561,0.558249232428274,2.9699758901791e-07,1.99127946575834e-06
MSTRG.139,2.08951223284288,3.04254600771551,0.57092052486144,1.05019544723613e-09,1.16680731328989e-08
MSTRG.14019,1.41803724803649,2.11458398756431,0.977599430886516,0.000830492249435771,0.00244046371087268
MSTRG.14049,36.0551647035113,2.17952000607011,0.355856136812639,2.4079891124748e-11,3.6455126310378e-10
MSTRG.14067,2.43618262182544,2.45804780006538,0.498686121692446,1.43867252686136e-08,1.27157625688767e-07
MSTRG.14196,2.38435321504744,4.05717160331599,0.560147143434855,4.17902547286987e-15,1.19841954745261e-13
MSTRG.14199,2.84948790528607,3.66111562921365,0.59526475750164,7.19464820888925e-12,1.20050543605364e-10
MSTRG.14205,5.07462508821779,4.36466849539875,0.65017921260864,1.46039905477551e-13,3.27735469996642e-12
MSTRG.14206,2.02765430493267,3.08192889572733,0.969363968851028,1.12072372359031e-05,5.29673518085499e-05
MSTRG.14247,6.88269387825704,2.03183124051371,0.499658438321997,1.65258038236914e-06,9.44074165113727e-06
MSTRG.14274,73.9572072485626,2.16197231146226,0.272068824608735,5.28200398823352e-17,2.02057770627966e-15
MSTRG.14301,5.68950920653415,2.47059624100795,0.512123923097108,2.40286698459309e-08,2.02172942399117e-07
MSTRG.14312,24.8462446698518,2.62862704738503,0.38470355928117,1.26817554592451e-13,2.86494946663745e-12
MSTRG.14378,7.16506372826077,2.16955929964332,0.349588454336795,1.46518913160443e-11,2.30396174971239e-10
MSTRG.14445,28.4900506324893,2.40351813791302,0.585956642348766,7.55545959805605e-07,4.66214277838165e-06
MSTRG.14480,13.1355894720478,5.73576285379804,0.63170882472564,3.89504051019739e-22,3.04592167897436e-20
MSTRG.14482,1.11352135085331,2.21858662934466,0.661167081342154,1.93709012794158e-05,8.65792844170326e-05
MSTRG.14512,318.661041367794,2.31032568494129,0.380803796617838,2.81801857085239e-11,4.19750575696489e-10
MSTRG.14549,1.4211924093825,2.8635782657634,0.862193666732254,8.88790307464634e-06,4.29594307176297e-05
MSTRG.14552,1.88079843609004,2.91742532629321,0.773754256700124,1.61187191428952e-06,9.22651457244777e-06
MSTRG.14621,5.10141868366564,2.10832756784883,0.396390577881544,3.12816917433444e-09,3.15095049059043e-08
MSTRG.14631,2.08981265983002,3.50805531074026,0.651725901439274,6.34786264781742e-10,7.3772359734452e-09
MSTRG.14645,74.5697832149285,3.1798882000272,0.282164634753521,2.51629743441915e-31,5.91460802735376e-29
MSTRG.14649,209.591422588104,4.2738559881388,0.550402748882135,7.53298278237049e-17,2.81829224047994e-15
MSTRG.14650,9.20957213624845,2.92450376973035,0.543466269228217,8.49686343140548e-10,9.61637780614173e-09
